30
58
1	0	188	320
2	0	414	330
3	0	507	200
4	0	841	250
5	0	306	380
6	0	659	260
7	0	1723	390
8	0	3436	360
9	0	1331	400
10	0	330	350
11	0	1195	300
12	0	3641	380
13	0	3435	400
14	0	3405	400
15	0	2123	300
16	0	239	390
17	0	147	285
18	0	129	290
19	0	54	400
20	0	136	250
21	0	128	275
22	0	113	280
23	0	88	300
24	0	99	250
25	0	20	320
26	0	507	220
27	0	11	200
28	0	3086	240
29	0	1634	300
0	2	409	300
1	2	482	300
3	2	151	250
4	2	154	250
5	2	1073	400
6	2	188	250
7	2	1065	400
8	2	2095	400
9	2	3821	450
10	2	1390	400
11	2	709	300
12	2	1576	400
13	2	4052	450
14	2	3860	450
15	2	3810	450
16	2	2503	400
17	2	3501	450
18	2	1636	400
19	2	3341	450
20	2	168	250
21	2	88	250
22	2	341	250
23	2	356	250
24	2	277	250
25	2	432	300
26	2	310	250
27	2	63	250
28	2	250	250
29	2	300	300
