30
58
1	0	320
2	0	33
3	0	200
4	0	250
5	0	380
6	0	260
7	0	390
8	0	360
9	0	400
10	0	350
11	0	300
12	0	380
13	0	400
14	0	400
15	0	300
16	0	390
17	0	285
18	0	290
19	0	400
20	0	250
21	0	275
22	0280
23	0	300
24	0	250
25	0	320
26	0	220
27	0	200
28	0	240
29	0	300
0	2	300
1	2	300
3	2	250
4	2	250
5	2	400
6	2	250
7	2	400
8	2	400
9	2	450
10	2	400
11	2	300
12	2	400
13	2	450
14	2	450
15	2	450
16	2	400
17	2	450
18	2	400
19	2	450
20	2	250
21	2	250
22	2	250
23	2	250
24	2	250
25	2	300
26	2	250
27	2	250
28	2	250
29	2	300
