30
58
1	0	300
	2	0	250
	3	0	200
	4	0	250
	5	0	400
	6	0	250
	7	0	400
	8	0	350
	9	0	400
	10	0	350
	11	0	300
	12	0	400
	13	0	400
	14	0	400
	15	0	450
	16	0	400
	17	0	300
	18	0	300
	19	0	450
	20	0	250
	21	0	300
	22	0 300
	23	0	300
	24	0	250
	25	0	300
	26	0	200
	27	0	200
	28	0	250
	29	0	300
	0	2	250
	1	2	300
	3	2	200
	4	2	250
	5	2	400
	6	2	250
	7	2	400
	8	2	350
	9	2	400
	10	2	350
	11	2	300
	12	2	400
	13	2	400
	14	2	400
	15	2	450
	16	2	400
	17	2	300
	18	2	300
	19	2	450
	20	2	250
	21	2	300
	22	2	300
	23	2	300
	24	2	250
	25	2	300
	26	2	200
	27	2	200
	28	2	250
	29	2	300
