30
58
1	0	188
	2	0	414
	3	0	507
	4	0	84
	5	0	306
	6	0	659
	7	0	1723
	8	0	3436
	9	0	1331
	10	0	330
	11	0	1195
	12	0	3641
	13	0	3435
	14	0	3405
	15	0	2123
	16	0	239
	17	0	147
	18	0	129
	19	0	54
	20	0	136
	21	0	128
	22	0	113
	23	0	88
	24	0	99
	25	0	20
	26	0	507
	27	0	11
	28	0	3086
	29	0	1634
	0	2	409
	1	2	482
	3	2	151
	4	2	15
	5	2	1073
	6	2	18
	7	2	1065
	8	2	2095
	9	2	3821
	10	2	1390
	11	2	709
	12	2	1576
	13	2	4052
	14	2	3860
	15	2	3810
	16	2	2503
	17	2	3501
	18	2	1636
	19	2	3341
	20	2	168
	21	2	88
	22	2	341
	23	2	356
	24	2	277
	25	2	432
	26	2	310
	27	2	63
	28	2	250
	29	2	300
